Especie;Orden;Familia;Estatus;Alimentacion
Egretta tricolor;Pelecaniformes;Ardeidae;R.M;Peces
Butorides virescens;Pelecaniformes;Ardeidae;R.M;Peces
Nycticorax nycticorax;Pelecaniformes;Ardeidae;R.M;Vertebrados
Eudocimus albus;Pelecaniformes;Threskiornithidae;R;Moluscos
Platalea ajaja;Pelecaniformes;Threskiornithidae;R;Insectos
Pandion haliaetus;Accipitriformes;Pandionidae;M;Vertebrados
Buteogallus anthracinus;Accipitriformes;Accipitridae;R;Reptiles
Buteo plagiatus;Accipitriformes;Accipitridae;R;Vertebrados
Buteo albonotatus;Accipitriformes;Accipitridae;R.M;Vertebrados
Milvago chimachima;Falconiformes;Falconidae;R;Vertebrados
Brotogeris jugularis;Psittaciformes;Psittacidae;R;Frutos
Eupsittula canicularis;Psittaciformes;Psittacidae;R;Semillas
Sublegatus arenarum;Passeriformes;Tyrannidae;R;Insectos
Myiarchus panamensis;Passeriformes;Tyrannidae;R;Insectos
Pitangus sulphuratus;Passeriformes;Tyrannidae;R;Insectos
Myiozetetes similis;Passeriformes;Tyrannidae;R;Semillas
Icterus pustulatus;Passeriformes;Icteridae;R;Insectos
Setophaga petechia;Passeriformes;Parulidae;R.M;Insectos
Saltator coerulescens;Passeriformes;Thraupidae;R ;Frutos
Limnodromus griseus;Charadriiformes;Scolopacidae;M;Moluscos
Tringa flavipes;Charadriiformes;Scolopacidae;M;Insectos
Hydroprogne caspia;Charadriiformes;Laridae;M;Peces
Phalacrocorax brasilianus;Suliformes;Phalacrocoracidae;R ;Peces
Ictinia plumbea;Accipitriformes;Accipitridae;RR.M;Reptiles
Falco peregrinus;Falconiformes;Falconidae;M;Aves
Progne chalybea;Passeriformes;Hirundinidae;R;Insectos
Petrochelidon pyrrhonota;Passeriformes;Hirundinidae;M;Insectos
Peucaea ruficauda;Passeriformes;Passerellidae;R;Semillas
Parkesia noveboracensis;Passeriformes;Parulidae;M;Insectos
Setophaga petechia;Passeriformes;Parulidae;R.M;Insectos
Pluvialis squatarola;Charadriiformes;Charadriidae;M;Crustáceos
Limosa fedoa;Charadriiformes;Scolopacidae;M;Crustáceos
Tringa semipalmata;Charadriiformes;Scolopacidae;M;Crustáceos
Thalasseus maximus;Charadriiformes;Laridae;M;Peces
Rynchops niger;Charadriiformes;Laridae;M;Peces
Falco columbarius;Falconiformes;Falconidae;M;Aves
Tyrannus forficatus;Passeriformes;Tyrannidae;M;Insectos
